Free Agent Defense/STs  Season  CBS Average Projections Standard Stats
Player,Opp,Bye,Int,STY,SACK,TK,DFR,FF,DTD,PA,PaNetA,RuYdA,TYdA,PosRnk,FPTS,
Seahawks DST | SEA,@STL,9,19,1,42,662,15,21,1,299,2978,1648,4626,N/R,214.00
Chiefs DST | KC ,@HOU,9,18,1,43,662,12,16,3,327,3692,2096,5788,N/R,187.00
Panthers DST | CAR,@JAC,5,18,0,46,660,16,22,1,334,3730,1884,5614,N/R,184.00
Bills DST | BUF,IND,8,18,0,47,618,11,16,2,304,3110,1897,5007,N/R,181.00
Texans DST | HOU,KC,9,20,0,40,671,13,18,1,330,3724,1960,5684,N/R,176.00
Jets DST | NYJ ,CLE,5,17,0,50,673,11,16,1,334,3642,1589,5231,N/R,176.00
Cardinals DST | ARI,NO,9,17,1,40,646,11,15,2,310,3605,1875,5480,N/R,174.00
Ravens DST | BAL ,@DEN,9,15,1,45,639,13,17,1,318,3622,1651,5273,N/R,173.00
Bengals DST | CIN,@OAK,7,21,0,28,682,12,17,1,300,3380,1886,5266,N/R,164.00
Chargers DST | SD,DET,10,15,0,32,674,13,18,1,328,3886,2073,5959,N/R,158.00
Rams DST | STL,SEA,6,14,1,48,694,17,23,2,338,3918,1833,5751,N/R,156.00
Packers DST | GB ,@CHI,7,19,0,49,647,12,17,2,339,3633,2091,5724,N/R,155.00
Eagles DST | PHI ,@ATL,8,16,0,44,651,14,19,3,389,4333,1827,6160,N/R,154.00
Dolphins DST | MIA ,@WAS,5,19,0,45,668,13,17,1,339,3385,1924,5309,N/R,147.00
Giants DST | NYG,@DAL,11,18,0,47,669,13,18,1,407,4167,2289,6456,N/R,147.00
Redskins DST | WAS,MIA,8,15,0,43,697,17,23,1,424,4416,1852,6268,N/R,145.00
Cowboys DST | DAL ,NYG,6,17,0,34,701,19,26,1,346,4104,2038,6142,N/R,144.00
Steelers DST | PIT,@NE,11,17,1,34,671,13,18,2,360,3686,1855,5541,N/R,140.00
Saints DST | NO,@ARI,11,18,0,44,651,11,15,1,342,3854,2025,5879,N/R,140.00
Patriots DST | NE,PIT,4,18,0,41,680,12,16,1,345,4154,2100,6254,N/R,139.00
Falcons DST | ATL,PHI,10,17,0,30,628,15,20,2,348,4126,1826,5952,N/R,138.00
Lions DST | DET,@SD,9,17,0,42,672,11,16,1,348,3725,1648,5373,N/R,136.00
Colts DST | IND ,@BUF,10,16,1,42,638,14,19,0,344,3875,2121,5996,N/R,136.00
Titans DST | TEN,@TB,4,18,0,44,671,9,13,1,368,3709,1876,5585,N/R,136.00
Buccaneers DST | TB,TEN,6,16,0,37,705,14,19,1,392,4246,1734,5980,N/R,135.00
Jaguars DST | JAC,CAR,8,14,0,40,646,14,19,1,358,3743,1741,5484,N/R,134.00
Bears DST | CHI,GB,7,15,0,42,674,12,16,1,442,4155,2055,6210,N/R,134.00
Broncos DST | DEN ,BAL,7,18,0,35,662,9,13,1,351,3342,1591,4933,N/R,127.00
Vikings DST | MIN ,@SF,5,14,0,41,660,10,14,1,360,3733,1903,5636,N/R,127.00
49ers DST | SF ,MIN,10,18,0,32,638,9,12,1,399,3966,1932,5898,N/R,124.00
Browns DST | CLE,@NYJ,11,19,0,28,631,10,14,0,360,3238,1984,5222,N/R,118.00
Raiders DST | OAK,CIN,6,14,0,27,690,9,13,1,454,4264,1753,6017,N/R,79.00
