"playerId","player","team","playerposition","age","exp","bye","points","lower","upper","sdPts","positionRank","dropoff","tier","ptSpread","overallECR","positionECR","sdRank","risk","games","ptsGame","vor","overallRank","vorLow","vorHigh","vorGame","vorGameLow","vorGameHigh","adp","auctionValue","adpDiff","cost","sleeper"
2553435,"David Johnson","ARI","RB",26,2,8,281.694243257717,260.6,294.597240926125,15.1049583655773,1,24.5181233075144,1,33.9972409261254,1.3,1.3,0.5,3.27215730741878,16,17.6058902036073,161.336231237161,1,173.677272974679,151.173699827203,9.87419044090638,10.8548295609175,9.29632410762703,1.6483,55.8325,-0.6483,56,NA
2540175,"LeVeon Bell","PIT","RB",25,4,9,264.685524791289,250.304732510288,287.43680341323,15.7758832871618,2,31.1612023298902,2,37.1320709029415,1.8,1.8,0.5,3.34367942094186,16,16.5428452994556,144.327512770733,2,163.382005484967,144.013262314307,8.81114553675461,10.2113753428105,8.84879676307103,2.1583,53.205,-0.1583,48,NA
2555224,"Ezekiel Elliott","DAL","RB",22,1,6,249.666715109117,217.051,270.490966933271,20.0327330218419,3,32.980952687829,3,53.4399669332714,4.3,3.2,0.9,3.8955195097656,16,15.6041696943198,129.30870308856,3,130.128272974679,127.067425834349,7.87246993161885,8.13301706091746,7.78968198307365,3.4333,52.1575,-0.4333,47,NA
79607,"LeSean McCoy","BUF","RB",29,8,6,217.381929813681,190.904993141289,231.490219659274,15.8878999354141,4,3.33036081234164,4,40.5852265179848,7.5,4.3,0.9,3.45367093177333,16,13.5863706133551,97.0239177931245,4,103.982266115969,88.0666785603519,5.8546708506541,6.49889163224805,5.35213527844883,8.0833,41.98,-4.0833,38,NA
2543583,"Devonta Freeman","ATL","RB",25,3,5,215.989595028895,203.96156201505,227.400146159751,10.064049247912,5,10.3297878251765,4,23.4385841447012,12.6,6.9,1.5,2.97991070575266,16,13.4993496893059,95.6315830083382,5,117.038834989729,83.9766050608289,5.76764992660496,7.31492718685809,5.09650568472864,11.5133,37.905,-6.5133,35,NA
2555418,"Jordan Howard","CHI","RB",23,1,9,212.113542973784,202.572208504801,218.98594312227,7.51993887504991,6,15.3447869247182,5,16.4137346174693,13.7,7.6,1.7,2.75772792950755,16,13.2570964358615,91.7555309532275,6,115.64948147948,75.562402023348,5.52539667316054,7.22809259246753,4.57061799488609,15.1383,35.9975,-9.1383,33,NA
2506363,"Aaron Rodgers","GB","QB",34,12,8,403.414151881966,365.5505,422.112263986586,20.3394912436844,1,20.6780763434589,1,56.5617639865856,33.8,1.1,0.4,4.10694371569495,16,25.2133844926229,91.0792688910257,7,112.747666666667,91.1655344116897,5.6924543056891,7.04672916666667,5.69784590073061,16.67,27.5,-9.67,25,NA
2508061,"Antonio Brown","PIT","WR",29,7,9,214.579451446107,177.979490066225,231.147393059145,20.6741336959251,1,13.6056362698372,1,53.1679029929199,3.7,1.1,0.3,4.42910451917067,16,13.4112157153817,88.2431928712358,8,70.383821240841,91.347649724526,5.49484910956053,4.39898882755256,5.59799331681222,4.7067,50.805,3.2933,46,NA
2552469,"Melvin Gordon","LAC","RB",24,2,8,199.206071433652,186.213182441701,205.359466973986,7.26737365618513,7,6.38817828630783,6,19.1462845322845,9.4,5.4,1.2,2.6082410525672,16,12.4503794646033,78.8480594130958,9,99.2904554163803,61.9359258750631,4.71867970190231,6.20565346352377,3.71896323561828,11.1283,38.315,-2.1283,35,NA
2504211,"Tom Brady","NE","QB",40,17,9,390.749647652606,340.0525,406.139735329281,22.0944109063344,2,21.5848995902929,2,66.087235329281,37.7,2.2,1,4.43487061455834,16,24.4218529782878,78.4147646616649,10,87.2496666666667,75.1930057543852,4.90092279135406,5.45310416666667,4.69956285964907,21.415,21.885,-11.415,20,NA
