"PLAYER","TEAM","BYE","PASS ATT","CMP","PASS YDS","PASS TDS","INTS","RUSH ATT","RUSH YDS","RUSH TDS","FMBLS","PPR"
"Patrick Mahomes","KC","12","575.30","374.60","4,794.00","36.10","12.90","50.30","210.70","2.20","2.00","355.53"
"Deshaun Watson","HOU","10","508.90","337.60","4,046.00","26.60","12.10","97.40","561.80","4.40","2.70","336.02"
"Andrew Luck","IND","6","607.80","399.00","4,503.10","33.60","14.20","52.60","222.20","1.40","2.60","328.34"
"Aaron Rodgers","GB","11","592.00","372.90","4,297.50","30.00","7.70","45.70","261.20","2.20","2.10","321.42"
"Cam Newton","CAR","7","521.40","342.60","3,839.40","25.40","13.60","111.90","554.60","4.60","1.70","322.94"
"Matt Ryan","ATL","9","590.60","400.10","4,658.80","30.40","10.50","36.90","133.20","1.60","2.00","318.37"
"Jameis Winston","TB","7","565.30","362.00","4,492.40","28.20","16.80","56.30","280.00","1.80","2.70","311.80"
"Drew Brees","NO","9","535.30","385.20","4,330.00","30.60","9.20","32.00","57.20","1.90","1.60","301.92"
"Baker Mayfield","CLE","7","568.60","365.30","4,358.40","31.40","14.20","47.60","185.50","0.90","2.40","307.29"
"Jared Goff","LAR","9","560.60","359.80","4,450.30","30.20","11.80","36.50","107.20","1.20","2.20","302.73"
"Ben Roethlisberger","PIT","7","636.90","418.40","4,771.70","29.20","15.80","27.40","78.20","1.30","1.80","305.69"
"Russell Wilson","SEA","11","447.60","289.00","3,551.40","28.80","9.60","72.90","393.10","2.50","2.10","299.87"
"Dak Prescott","DAL","8","520.50","346.80","3,882.70","24.20","11.00","68.00","307.80","5.10","2.30","300.19"
"Carson Wentz","PHI","10","577.30","384.30","4,314.30","30.20","12.80","48.60","182.10","0.90","2.60","301.58"
"Lamar Jackson","BAL","8","461.10","273.70","3,102.10","16.90","11.10","169.00","882.40","6.20","4.90","301.12"
"Tom Brady","NE","10","585.40","382.40","4,390.40","29.00","10.90","25.70","40.50","1.10","1.50","289.87"
"Kirk Cousins","MIN","12","580.50","403.10","4,186.80","27.30","12.20","42.70","132.60","1.90","2.40","286.73"
"Mitch Trubisky","CHI","6","510.70","334.10","3,762.90","24.80","13.50","65.60","375.90","2.50","2.50","286.31"
"Philip Rivers","LAC","12","536.40","355.50","4,366.70","29.50","12.50","17.60","29.00","0.20","1.40","282.87"
"Josh Allen","BUF","6","479.90","271.80","3,199.10","17.40","14.50","98.80","653.70","6.90","2.90","286.93"
"Kyler Murray","ARI","12","547.50","341.00","3,731.70","21.50","14.90","102.60","481.40","3.20","3.20","284.51"
"Jimmy Garoppolo","SF","4","526.90","344.00","4,233.90","26.20","13.90","38.60","133.80","1.60","2.10","281.14"
"Matthew Stafford","DET","5","573.90","378.00","4,036.50","24.60","12.00","26.80","72.90","0.60","1.70","257.05"
"Derek Carr","OAK","6","571.10","384.80","4,086.20","23.30","12.30","29.00","71.00","0.80","2.10","254.15"
"Sam Darnold","NYJ","4","532.30","323.00","3,669.20","22.70","16.00","49.60","195.70","1.70","2.30","249.04"
"Andy Dalton","CIN","9","538.40","334.30","3,688.70","24.00","13.80","32.90","118.60","0.80","1.70","244.71"
"Marcus Mariota","TEN","11","454.10","301.30","3,299.20","18.20","12.40","72.90","365.90","2.70","2.40","242.76"
"Nick Foles","JAC","10","542.40","348.30","3,835.50","21.40","13.40","25.80","65.20","1.20","2.00","237.34"
"Eli Manning","NYG","11","518.30","329.90","3,463.00","19.40","11.50","16.00","21.40","0.80","2.50","209.06"
"Joe Flacco","DEN","10","433.10","264.40","3,022.30","16.70","10.50","19.60","58.50","0.60","1.30","185.34"
