"PLAYER","TEAM","BYE","RUSH ATT","RUSH YDS","RUSH TDS","REC","REC YDS","REC TDS","FMBLS","PPR"
"Saquon Barkley","NYG","11","276.20","1,283.20","9.50","86.70","699.20","3.50","1.60","361.30"
"Christian McCaffrey","CAR","7","219.10","1,087.00","6.90","95.80","826.40","5.10","1.80","357.30"
"Alvin Kamara","NO","9","205.20","932.90","9.40","87.40","758.60","4.60","1.40","339.20"
"Ezekiel Elliott","DAL","8","319.30","1,402.80","9.50","72.90","555.80","2.80","2.30","340.30"
"Le'Veon Bell","NYJ","4","255.50","1,068.90","7.60","61.80","525.60","2.70","1.70","281.40"
"David Johnson","ARI","12","244.70","981.90","7.30","59.90","587.00","3.40","2.50","278.50"
"Melvin Gordon","LAC","12","212.10","951.40","8.80","52.10","478.10","2.80","1.10","263.60"
"James Conner","PIT","7","228.60","1,013.70","9.50","53.00","440.10","1.50","1.90","262.50"
"Dalvin Cook","MIN","12","235.90","1,100.30","6.20","59.40","457.60","2.00","2.70","261.70"
"Joe Mixon","CIN","9","257.10","1,189.50","8.90","46.20","340.60","1.30","1.60","258.80"
"Todd Gurley","LAR","9","201.70","959.50","9.40","43.20","402.60","2.50","1.70","249.10"
"Damien Williams","KC","12","168.10","804.70","7.80","53.60","432.50","4.10","1.40","247.30"
"Leonard Fournette","JAC","10","254.30","960.10","8.10","45.40","381.60","1.70","1.30","237.10"
"Kerryon Johnson","DET","5","209.00","1,007.60","6.20","49.70","352.50","1.60","1.90","230.60"
"Nick Chubb","CLE","7","245.30","1,146.30","9.20","27.10","215.30","1.50","0.90","226.60"
"Devonta Freeman","ATL","9","210.00","879.90","7.00","46.50","357.30","2.00","1.30","222.90"
"Josh Jacobs","OAK","6","210.50","921.30","6.50","43.70","375.90","1.70","1.50","221.10"
"Aaron Jones","GB","11","185.90","938.70","8.30","38.90","299.20","1.50","1.30","220.20"
"Kenyan Drake","MIA","5","144.90","690.80","4.40","57.40","492.00","3.00","1.70","218.40"
"Derrick Henry","TEN","11","256.00","1,202.40","10.20","16.20","125.10","0.30","1.00","211.00"
"Chris Carson","SEA","11","239.80","1,130.90","8.50","25.20","198.50","0.80","2.10","211.80"
"Marlon Mack","IND","6","226.60","1,048.20","8.50","27.20","199.00","1.00","1.30","207.60"
"Phillip Lindsay","DEN","10","191.60","945.10","6.70","37.10","277.00","1.10","0.80","205.30"
"James White","NE","10","69.10","292.70","2.60","70.60","638.60","4.20","0.50","204.00"
"David Montgomery","CHI","6","199.10","872.90","6.20","32.20","275.70","1.50","1.70","191.60"
"Sony Michel","NE","10","247.80","1,112.70","9.80","10.30","82.10","0.30","1.60","188.80"
"Lamar Miller","HOU","10","199.50","873.20","5.00","34.40","261.50","1.20","1.00","184.10"
"Mark Ingram","BAL","8","220.80","887.60","6.30","28.80","226.10","0.80","2.00","180.80"
"Tarik Cohen","CHI","6","87.60","355.20","2.40","57.40","552.90","3.00","1.60","179.00"
"Derrius Guice","WAS","10","173.40","732.80","5.10","26.70","230.90","1.10","1.60","158.70"
"Tevin Coleman","SF","4","160.70","746.00","4.60","24.10","218.00","1.60","0.90","156.80"
"Austin Ekeler","LAC","12","97.90","460.20","2.60","37.30","356.60","2.10","1.10","146.10"
"Peyton Barber","TB","7","185.60","761.50","4.60","22.10","144.60","0.80","1.30","143.80"
"LeSean McCoy","BUF","6","158.70","652.00","3.40","30.10","242.60","0.80","1.00","143.80"
"Miles Sanders","PHI","10","133.80","524.30","3.90","32.30","262.10","1.30","1.50","140.60"
"Darrell Henderson","LAR","9","136.00","609.10","4.00","24.60","216.20","1.10","1.30","136.40"
"Jordan Howard","PHI","10","166.30","698.00","5.60","16.50","112.30","0.30","1.10","131.80"
"Chris Thompson","WAS","10","58.20","238.10","1.10","46.60","372.20","1.80","0.90","124.10"
"Rashaad Penny","SEA","11","150.70","687.10","3.70","16.60","128.90","0.70","1.00","123.60"
"Dion Lewis","TEN","11","99.40","383.30","1.80","40.20","291.20","0.90","0.90","123.00"
"Ito Smith","ATL","9","119.40","461.00","3.90","27.80","198.40","0.60","1.00","119.70"
"Nyheim Hines","IND","6","74.70","288.70","1.70","41.30","310.90","1.50","0.60","119.90"
"Latavius Murray","NO","9","155.50","587.60","5.60","14.40","96.30","0.20","0.80","116.80"
"Jerick McKinnon","SF","4","95.00","397.80","2.40","30.90","255.50","1.00","0.60","116.00"
