"PLAYER","TEAM","BYE","REC","YDS","TDS","FMBLS","PPR"
"Travis Kelce","KC","12","98.40","1,247.10","9.40","0.60","278.90"
"George Kittle","SF","4","84.40","1,157.60","6.10","0.40","236.40"
"Zach Ertz","PHI","10","93.70","996.80","7.20","0.50","236.10"
"Evan Engram","NYG","11","68.50","817.10","5.10","0.50","180.30"
"O.J. Howard","TB","7","57.00","832.20","6.30","0.50","177.50"
"Jared Cook","NO","9","60.40","757.30","5.80","0.40","170.50"
"Hunter Henry","LAC","12","53.50","685.20","6.00","0.50","157.50"
"Vance McDonald","PIT","7","58.30","660.40","4.80","0.50","152.60"
"Jordan Reed","WAS","10","64.10","646.50","3.70","0.50","150.50"
"David Njoku","CLE","7","53.00","628.70","4.80","0.40","144.30"
"Austin Hooper","ATL","9","60.40","579.40","4.30","0.40","143.70"
"Eric Ebron","IND","6","49.60","560.10","6.40","0.40","143.60"
"Delanie Walker","TEN","11","55.60","616.70","3.80","0.50","139.60"
"Jack Doyle","IND","6","58.00","523.00","4.20","0.80","134.70"
"Jimmy Graham","GB","11","51.10","552.00","3.90","0.40","129.30"
"Greg Olsen","CAR","7","46.50","549.70","4.30","0.10","127.20"
"Kyle Rudolph","MIN","12","51.20","497.90","4.20","0.40","125.80"
"Trey Burton","CHI","6","47.50","520.90","4.40","0.50","125.50"
"Mark Andrews","BAL","8","41.20","592.90","3.80","0.10","123.20"
"Tyler Eifert","CIN","9","42.60","471.20","3.60","0.10","111.20"
"Noah Fant","DEN","10","40.80","473.90","3.30","0.40","107.60"
"Jason Witten","DAL","8","44.50","440.40","3.20","0.40","107.30"
"T.J. Hockenson","DET","5","40.80","439.30","3.50","0.80","104.90"
"Dallas Goedert","PHI","10","34.10","346.90","3.90","0.10","92.10"
"Will Dissly","SEA","11","29.50","391.60","3.90","0.10","92.00"
"Chris Herndon IV","NYJ","4","31.40","394.00","3.30","0.10","90.50"
"Mike Gesicki","MIA","5","36.80","376.10","2.30","0.80","87.40"
"Darren Waller","OAK","6","33.70","371.30","2.80","0.40","87.20"
"Cameron Brate","TB","7","29.50","312.20","3.30","0.40","80.10"
"Geoff Swaim","JAC","10","33.00","331.70","2.00","0.10","78.10"
"Gerald Everett","LAR","9","27.60","304.80","2.80","0.10","74.80"
"Vernon Davis","WAS","10","27.20","344.40","2.10","0.10","74.10"
"Benjamin Watson","NE","10","28.00","327.00","2.10","0.10","73.20"
"Jace Sternberger","GB","11","28.40","307.90","2.30","0.60","72.40"
"Matt LaCosse","NE","10","28.30","312.70","1.80","0.10","70.30"
"Ian Thomas","CAR","7","26.30","271.30","2.50","0.00","68.40"
"Jordan Thomas","HOU","10","25.40","274.30","2.50","0.10","67.70"
"Charles Clay","ARI","12","27.20","259.40","1.70","0.40","62.90"
"Josh Oliver","JAC","10","25.90","280.40","1.50","0.60","62.30"
"Ricky Seals-Jones","ARI","12","24.50","275.30","1.60","0.00","61.60"
