"PLAYER","TEAM","BYE","REC","REC YDS","REC TDS","RUSH ATT","RUSH YDS","RUSH TDS","FMBLS","PPR"
"Julio Jones","ATL","9","105.70","1,559.20","8.20","1.80","11.80","0.00","0.90","311.10"
"Davante Adams","GB","11","106.20","1,355.40","11.30","0.00","0.00","0.00","0.50","309.00"
"DeAndre Hopkins","HOU","10","103.20","1,455.90","9.70","0.50","-0.60","0.00","0.90","306.00"
"Michael Thomas","NO","9","112.10","1,336.80","8.50","0.00","0.00","0.00","0.60","296.20"
"JuJu Smith-Schuster","PIT","7","104.20","1,362.40","8.70","0.50","4.50","0.00","0.50","292.60"
"Antonio Brown","OAK","6","101.20","1,294.00","9.80","0.00","0.00","0.00","0.50","288.90"
"Tyreek Hill","KC","12","80.60","1,308.50","8.60","14.60","103.10","0.90","0.50","278.30"
"Odell Beckham Jr.","CLE","7","89.80","1,287.40","9.50","5.40","21.90","0.00","0.50","277.20"
"Mike Evans","TB","7","88.10","1,415.30","7.80","0.00","0.00","0.00","0.50","275.90"
"Keenan Allen","LAC","12","98.90","1,287.30","6.90","4.00","29.60","0.00","0.60","271.40"
"Julian Edelman","NE","10","93.90","1,156.10","6.90","9.60","89.60","0.30","0.50","261.20"
"Adam Thielen","MIN","12","91.40","1,175.40","6.90","3.70","20.40","0.00","0.60","251.80"
"T.Y. Hilton","IND","6","81.00","1,287.00","6.90","0.00","0.00","0.00","0.50","250.60"
"Stefon Diggs","MIN","12","90.80","1,043.40","7.60","8.10","37.90","0.10","0.50","244.60"
"Brandin Cooks","LAR","9","77.40","1,165.00","6.30","7.70","44.50","0.50","0.50","238.70"
"Amari Cooper","DAL","8","80.70","1,099.30","7.80","1.60","12.30","0.00","0.60","238.10"
"Robert Woods","LAR","9","79.40","1,082.00","5.80","12.60","89.50","0.70","0.50","235.10"
"A.J. Green","CIN","9","73.80","1,076.60","7.30","0.00","0.00","0.00","0.80","224.50"
"Cooper Kupp","LAR","9","73.60","973.40","7.60","3.80","22.40","0.00","0.50","218.30"
"Kenny Golladay","DET","5","74.30","1,067.30","5.90","1.20","8.60","0.00","0.50","216.80"
"Chris Godwin","TB","7","74.10","1,015.80","6.30","0.00","0.00","0.00","0.60","212.90"
"Tyler Lockett","SEA","11","62.20","1,005.40","6.90","8.60","50.70","0.10","0.50","209.30"
"Tyler Boyd","CIN","9","74.70","970.10","5.60","1.30","4.60","0.00","0.40","205.40"
"Alshon Jeffery","PHI","10","69.10","945.30","6.70","0.00","0.00","0.00","0.50","203.30"
"Calvin Ridley","ATL","9","65.80","821.00","7.00","6.00","29.50","0.10","0.50","193.00"
"Mike Williams","LAC","12","57.80","850.60","7.40","5.00","25.40","0.40","0.50","191.70"
"D.J. Moore","CAR","7","64.50","890.20","4.20","13.80","138.50","0.10","1.60","191.60"
"Sammy Watkins","KC","12","62.80","886.90","6.00","3.40","25.40","0.00","0.60","189.40"
"Allen Robinson","CHI","6","64.60","902.80","5.50","0.60","3.90","0.10","0.50","188.40"
"Jarvis Landry","CLE","7","68.30","809.80","4.80","3.00","29.20","0.50","0.50","183.50"
