All Quarterbacks NFL Standard Stats
,,Upcoming,,Passing,,,,,,Rushing,,,,Receiving,,,,,,,
Player,Team,Opp,Bye,Att,Cmp,Yd,TD,Int,Rate,Att,Yd,Avg,TD,Tar,Recpt,Yd,Avg,TD,FL,FPTS,
"Brees, Drew QB NO ",Freak'n Ricans,ATL,7,659.3,443.7,5135.7,42.7,16.0,102.1,16.7,21.3,1.3,1.0,0,0,0,0.0,0,2.0,436.80
"Rodgers, Aaron QB GB ",South Central Grinder,@SF,4,548.3,366.7,4548.0,39.7,11.0,108.2,59.3,266.0,4.5,3.0,0,0,0,0.0,0,2.3,409.20
"Manning, Peyton QB DEN ",CaMelToE,BAL,9,604.7,414.7,4875.0,40.0,12.7,106.1,18.3,10.7,0.6,0,0,0,0,0.0,0,1.3,407
"Stafford, Matthew QB DET ",Massive DEZticles,MIN,9,679.7,422.3,4955.3,31.0,16.7,89.2,23.3,83.0,3.6,1.7,0,0,0,0.0,0,1.7,383.40
"Newton, Cam QB CAR ",The Pluggers,SEA,4,509.7,309.0,4073.7,22.7,12.3,90.7,123.0,709.7,5.8,7.3,0,0,0,0.0,0,3.0,377
"Ryan, Matt QB ATL ",Cabo Clap,@NO,6,613.3,412.0,4798.7,33.3,13.3,99.7,34.3,96.7,2.8,1.0,0,0,0,0.0,0,2.7,372.20
"Romo, Tony QB DAL ",CaMelToE,NYG,11,625.3,409.0,4870.3,29.7,13.7,95.7,22.0,46.7,2.1,0.7,0,0,0,0.0,0,2.0,367.60
"Brady, Tom QB NE ",Just Won Baby,@BUF,10,582.0,383.3,4425.7,32.0,11.3,98.9,33.0,57.0,1.7,2.7,0,0,0,0.0,0,1.3,348
"Luck, Andrew QB IND ",Bukkake Bandits,OAK,8,566.0,369.3,4463.3,28.7,14.3,95.7,61.3,266.7,4.4,3.0,0,0,0,0.0,0,3.0,347.20
"Griffin III, Robert QB WAS ",The Pluggers,PHI,5,455.7,303.0,3627.0,25.0,10.3,99.5,91.3,543.0,5.9,5.7,0,0,0,0.0,0,3.3,343
"Kaepernick, Colin QB SF ",Free Agent,GB,9,512.0,327.7,3897.3,21.7,14.0,89.9,114.0,638.0,5.6,5.0,0,0,0,0.0,0,3.7,341.40
"Wilson, Russell QB SEA ",Free Agent,@CAR,12,467.0,303.3,3659.0,25.7,11.0,97.4,93.3,487.0,5.2,4.7,0,0,0,0.0,0,2.0,337
"Manning, Eli QB NYG ",McLovin,@DAL,9,566.3,360.0,4324.7,29.3,14.0,93.8,28.0,35.7,1.3,0,0,0,0,0.0,0,2.3,309.60
"Roethlisberger, Ben QB PIT ",McLovin,TEN,5,524.3,334.3,3929.0,24.3,10.3,93.7,27.7,94.7,3.4,2.0,0,0,0,0.0,0,3.0,292.60
"Cutler, Jay QB CHI ",Free Agent,CIN,8,528.3,334.7,3968.0,26.3,14.3,91.5,34.3,160.3,4.7,1.0,0,0,0,0.0,0,3.7,291.20
"Dalton, Andy QB CIN ",DOUBLE PENETRATION,@CHI,12,555.0,342.7,4080.0,27.0,16.7,87.8,41.7,130.7,3.1,1.0,0,0,0,0.0,0,3.3,291
"Freeman, Josh QB TB ",Bukkake Bandits,@NYJ,5,546.7,331.7,4107.0,25.7,16.7,86.9,44.3,163.7,3.7,0.7,0,0,0,0.0,0,3.0,287.60
"Bradford, Sam QB STL ",Free Agent,ARI,11,556.3,345.0,4126.7,25.0,14.3,88.9,28.7,66.0,2.3,1.0,0,0,0,0.0,0,3.7,286
"Schaub, Matt QB HOU ",Cabo Clap,@SD,8,537.7,341.3,4117.0,24.7,12.7,92.4,20.7,12.3,0.6,0.3,0,0,0,0.0,0,2.3,283.60
"Rivers, Philip QB SD ",South Central Grinder,HOU,8,568.7,362.3,4338.3,25.0,17.7,88.6,24.3,35.3,1.5,0,0,0,0,0.0,0,4.0,282.60
"Tannehill, Ryan QB MIA ",Free Agent,@CLE,6,542.7,345.3,4046.0,21.3,15.0,87.7,52.3,226.7,4.3,1.3,0,0,0,0.0,0,2.7,281.60
"Smith, Alex QB KC ",Free Agent,@JAC,10,563.0,363.3,4114.0,23.0,14.0,89.6,38.3,131.3,3.4,1.0,0,0,0,0.0,0,3.7,281.60
