All Running Backs NFL Standard Stats
,,Upcoming,,Passing,,,,,,Rushing,,,,Receiving,,,,,,,
Player,Team,Opp,Bye,Att,Cmp,Yd,TD,Int,Rate,Att,Yd,Avg,TD,Tar,Recpt,Yd,Avg,TD,FL,FPTS,
"Peterson, Adrian RB MIN ",Just Won Baby,@DET,5,0,0,0,0,0,0.0,326.3,1612.3,4.9,13.7,0,39.7,259.7,6.5,1.7,1.3,300.50
"Charles, Jamaal RB KC ",South Central Grinder,@JAC,10,0,0,0,0,0,0.0,266.0,1437.0,5.4,7.7,0,58.0,496.7,8.6,2.3,1.7,292.60
"Foster, Arian RB HOU ",CaMelToE,@SD,8,0,0,0,0,0,0.0,300.0,1336.7,4.5,14.0,0,45.3,329.0,7.3,1.7,2.0,286.50
"Martin, Doug RB TB ",Massive DEZticles,@NYJ,5,0,0,0,0,0,0.0,301.3,1358.3,4.5,10.3,0,52.3,470.7,9.0,1.3,1.3,285.30
"Rice, Ray RB BAL ",McLovin,@DEN,8,0,0,0,0,0,0.0,262.0,1182.0,4.5,8.0,0,64.7,515.3,8.0,2.0,1.7,275.30
"Richardson, Trent RB CLE ",CaMelToE,MIA,10,0,0,0,0,0,0.0,300.3,1280.7,4.3,10.3,0,49.3,390.3,7.9,1.3,0.7,269.50
"McCoy, LeSean RB PHI ",Massive DEZticles,@WAS,12,0,0,0,0,0,0.0,268.0,1270.7,4.7,9.0,0,53.7,386.0,7.2,2.3,2.0,267.50
"Spiller, C.J. RB BUF",Bukkake Bandits,NE,12,0,0,0,0,0,0.0,259.3,1382.3,5.3,8.3,0,41.0,346.3,8.4,2.7,2.0,260
"Forte, Matt RB CHI ",Freak'n Ricans,CIN,8,0,0,0,0,0,0.0,255.3,1150.3,4.5,5.3,0,59.0,470.0,8.0,3.0,2.0,250.80
"Lynch, Marshawn RB SEA ",McLovin,@CAR,12,0,0,0,0,0,0.0,302.3,1432.7,4.7,12.3,0,26.0,195.3,7.5,1.0,1.7,249.40
"Bush, Reggie RB DET ",Cabo Clap,MIN,9,0,0,0,0,0,0.0,210.3,959.7,4.6,4.7,0,70.7,555.0,7.9,2.7,1.7,245.70
"Jackson, Steven RB ATL ",Freak'n Ricans,@NO,6,0,0,0,0,0,0.0,255.0,1147.3,4.5,9.3,0,42.0,335.0,8.0,0.7,1.0,232
"Sproles, Darren RB NO ",Just Won Baby,ATL,7,0,0,0,0,0,0.0,75.7,415.7,5.5,2.7,0,77.3,710.7,9.2,7.0,1.0,229.50
"Johnson, Chris RB TEN ",Freak'n Ricans,@PIT,8,0,0,0,0,0,0.0,271.0,1293.0,4.8,6.3,0,39.0,291.3,7.5,1.0,1.7,221.40
"Jones-Drew, Maurice RB JAC ",Bukkake Bandits,KC,9,0,0,0,0,0,0.0,280.3,1207.0,4.3,6.3,0,38.0,298.0,7.8,1.3,2.0,213.60
"Murray, DeMarco RB DAL ",Massive DEZticles,NYG,11,0,0,0,0,0,0.0,244.7,1114.7,4.6,7.3,0,38.7,312.0,8.1,1.0,1.0,212.50
"Morris, Alfred RB WAS ",Massive DEZticles,PHI,5,0,0,0,0,0,0.0,313.3,1423.7,4.5,10.7,0,14.3,79.7,5.6,0.3,2.3,211.70
"Miller, Lamar RB MIA ",Free Agent,@CLE,6,0,0,0,0,0,0.0,232.7,1115.7,4.8,6.3,0,35.0,295.0,8.4,1.3,1.0,202.60
"McFadden, Darren RB OAK ",DOUBLE PENETRATION,@IND,7,0,0,0,0,0,0.0,228.7,1049.7,4.6,5.7,0,39.0,310.3,8.0,1.3,2.0,197
"Ridley, Stevan RB NE ",Massive DEZticles,@BUF,10,0,0,0,0,0,0.0,274.7,1245.7,4.5,11.7,0,8.7,71.7,8.2,0,2.0,193.90
"Gore, Frank RB SF ",Bukkake Bandits,GB,9,0,0,0,0,0,0.0,249.0,1120.7,4.5,7.3,0,25.3,218.0,8.6,1.0,1.3,191.50
"Wilson, David RB NYG ",Cabo Clap,@DAL,9,0,0,0,0,0,0.0,227.3,1115.7,4.9,6.0,0,26.3,236.7,9.0,1.7,1.0,188.50
"Vereen, Shane RB NE ",Free Agent,@BUF,10,0,0,0,0,0,0.0,137.3,619.3,4.5,4.3,0,49.3,443.3,9.0,2.7,0.3,179.70
"Bell, Le'Veon RB PIT ",Free Agent,TEN,5,0,0,0,0,0,0.0,250.3,1055.7,4.2,6.3,0,24.7,167.3,6.8,0.7,1.7,169.30
"Bernard, Giovani RB CIN ",Free Agent,@CHI,12,0,0,0,0,0,0.0,179.3,852.3,4.8,4.0,0,38.0,317.3,8.3,1.3,1.3,168.20
"Ball, Montee RB DEN ",Free Agent,BAL,9,0,0,0,0,0,0.0,225.3,985.0,4.4,7.3,0,22.0,168.0,7.6,0.3,1.7,164.20
"Bradshaw, Ahmad RB IND ",Just Won Baby,OAK,8,0,0,0,0,0,0.0,194.7,882.7,4.5,6.0,0,25.7,200.3,7.8,1.0,0.7,159.30
"Ivory, Chris RB NYJ ",Free Agent,TB,10,0,0,0,0,0,0.0,256.0,1121.0,4.4,7.0,0,11.0,82.7,7.5,0,1.7,158.60
"Mathews, Ryan RB SD ",The Pluggers,HOU,8,0,0,0,0,0,0.0,206.0,881.7,4.3,5.0,0,30.0,221.0,7.4,0.7,2.0,155.20
"Mendenhall, Rashard RB ARI ",Freak'n Ricans,@STL,9,0,0,0,0,0,0.0,228.7,931.3,4.1,6.3,0,21.7,170.7,7.9,0.3,1.3,152.70
"Brown, Andre RB NYG ",Free Agent,@DAL,9,0,0,0,0,0,0.0,166.7,738.7,4.4,8.3,0,22.7,165.3,7.3,0.3,1.3,146.70
"Hillman, Ronnie RB DEN ",Just Won Baby,BAL,9,0,0,0,0,0,0.0,136.0,625.3,4.6,4.0,0,33.3,275.0,8.3,1.3,1.0,138.10
"Stewart, Jonathan RB CAR ",The Pluggers,SEA,4,0,0,0,0,0,0.0,171.7,759.0,4.4,4.3,0,25.3,215.7,8.5,1.0,1.7,135.70
"Thomas, Pierre RB NO ",McLovin,ATL,7,0,0,0,0,0,0.0,137.0,597.3,4.4,4.0,0,34.7,301.3,8.7,1.0,1.3,135.10
"Woodhead, Danny RB SD ",Free Agent,HOU,8,0,0,0,0,0,0.0,101.7,442.3,4.3,3.0,0,41.7,348.3,8.4,2.0,0.3,134.10
"Lacy, Eddie RB GB ",Free Agent,@SF,4,0,0,0,0,0,0.0,181.0,798.0,4.4,6.0,0,20.3,147.0,7.2,0.3,1.7,132.70
"Richardson, Daryl RB STL ",Free Agent,ARI,11,0,0,0,0,0,0.0,134.3,617.0,4.6,3.7,0,29.7,223.3,7.5,1.3,1.0,124.70
