All Tight Ends NFL Standard Stats
,,Upcoming,,Passing,,,,,,Rushing,,,,Receiving,,,,,,,
Player,Team,Opp,Bye,Att,Cmp,Yd,TD,Int,Rate,Att,Yd,Avg,TD,Tar,Recpt,Yd,Avg,TD,FL,FPTS,
"Graham, Jimmy TE NO ",Massive DEZticles,ATL,7,0,0,0,0,0,0.0,0,0,0.0,0,0,87.0,1094.3,12.6,10.0,0,248
"Gronkowski, Rob TE NE ",Bukkake Bandits,@BUF,10,0,0,0,0,0,0.0,0,0,0.0,0,0,72.3,1006.7,13.9,10.7,1.0,226.50
"Witten, Jason TE DAL ",Cabo Clap,NYG,11,0,0,0,0,0,0.0,0,0,0.0,0,0,91.3,944.0,10.3,5.7,0,212.50
"Gonzalez, Tony TE ATL ",Freak'n Ricans,@NO,6,0,0,0,0,0,0.0,0,0,0.0,0,0,84.3,891.7,10.6,7.3,0,209.10
"Davis, Vernon TE SF ",Bukkake Bandits,GB,9,0,0,0,0,0,0.0,0.3,-0.3,-1.0,0,0,64.0,883.7,13.8,6.3,0,182.80
"Olsen, Greg TE CAR",South Central Grinder,SEA,4,0,0,0,0,0,0.0,0,0,0.0,0,0,66.0,798.7,12.1,5.0,1.0,165
"Rudolph, Kyle TE MIN",CaMelToE,@DET,5,0,0,0,0,0,0.0,0,0,0.0,0,0,59.0,642.3,10.9,8.0,0,164
"Gates, Antonio TE SD",McLovin,HOU,8,0,0,0,0,0,0.0,0,0,0.0,0,0,61.7,714.0,11.6,6.3,0,162.50
"Cook, Jared TE STL ",Free Agent,ARI,11,0,0,0,0,0,0.0,0,0,0.0,0,0,58.7,734.0,12.5,5.7,0.3,157.30
"Finley, Jermichael TE GB ",DOUBLE PENETRATION,@SF,4,0,0,0,0,0,0.0,0,0,0.0,0,0,62.3,726.0,11.7,5.0,0,157.30
"Daniels, Owen TE HOU",McLovin,@SD,8,0,0,0,0,0,0.0,0,0,0.0,0,0,64.7,718.0,11.1,5.0,0.3,157.10
"Bennett, Martellus TE CHI ",Cabo Clap,CIN,8,0,0,0,0,0,0.0,0,0,0.0,0,0,57.7,700.3,12.1,6.0,0,155.70
"Myers, Brandon TE NYG",DOUBLE PENETRATION,@DAL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,63.0,697.3,11.1,4.7,0,153.20
"Pettigrew, Brandon TE DET",Just Won Baby,MIN,9,0,0,0,0,0,0.0,0,0,0.0,0,0,65.0,681.0,10.5,4.3,1.0,148.80
"Allen, Dwayne TE IND",Free Agent,OAK,8,0,0,0,0,0,0.0,0.7,2.0,2.9,0,0,54.0,595.3,11.0,4.7,0.7,132.80
"Lewis, Marcedes TE JAC ",Free Agent,KC,9,0,0,0,0,0,0.0,0,0,0.0,0,0,53.3,571.3,10.7,5.3,0.7,132.70
