All Wide Receivers NFL Standard Stats
,,Upcoming,,Passing,,,,,,Rushing,,,,Receiving,,,,,,,
Player,Team,Opp,Bye,Att,Cmp,Yd,TD,Int,Rate,Att,Yd,Avg,TD,Tar,Recpt,Yd,Avg,TD,FL,FPTS,
"Johnson, Calvin WR DET ",DOUBLE PENETRATION,MIN,9,0,0,0,0,0,0.0,1.0,6.7,6.7,0,0,106.3,1680.3,15.8,10.7,1.0,329.50
"Marshall, Brandon WR CHI ",South Central Grinder,CIN,8,0,0,0,0,0,0.0,0.3,1.7,5.7,0,0,103.7,1384.0,13.3,10.7,0.7,296.50
"Green, A.J. WR CIN ",DOUBLE PENETRATION,@CHI,12,0,0,0,0,0,0.0,3.7,41.3,11.2,0,0,95.7,1408.7,14.7,10.7,0,293.90
"Bryant, Dez WR DAL ",CaMelToE,NYG,11,0,0,0,0,0,0.0,1.3,4.3,3.3,0,0,95.7,1424.7,14.9,10.7,1.3,292.30
"Jones, Julio WR ATL",Just Won Baby,@NO,6,0,0,0,0,0,0.0,5.7,36.3,6.4,0,0,85.3,1312.0,15.4,10.7,0,274.50
"Thomas, Demaryius WR DEN",Cabo Clap,BAL,9,0,0,0,0,0,0.0,0.3,0.7,2.3,0,0,86.7,1312.0,15.1,10.7,1.7,271.50
"Johnson, Andre WR HOU ",Cabo Clap,@SD,8,0,0,0,0,0,0.0,0.3,2.0,6.7,0,0,97.0,1384.3,14.3,7.3,0,270.80
"White, Roddy WR ATL",Massive DEZticles,@NO,6,0,0,0,0,0,0.0,0,0,0.0,0,0,93.7,1278.0,13.6,9.3,0,268.50
"Fitzgerald, Larry WR ARI ",The Pluggers,@STL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,91.3,1303.0,14.3,8.7,0.3,265.90
"Cobb, Randall WR GB ",Just Won Baby,@SF,4,0,0,0,0,0,0.0,12.3,103.3,8.4,0.7,0,95.7,1171.7,12.2,8.7,1.3,263.50
"Harvin, Percy WR SEA ",Free Agent,@CAR,12,0,0,0,0,0,0.0,39.0,215.3,5.5,2.3,0,85.7,1089.3,12.7,7.0,1.0,254.50
"Cruz, Victor WR NYG ",McLovin,@DAL,9,0,0,0,0,0,0.0,0,0.3,0.0,0,0,87.7,1225.7,14.0,8.3,0,251.50
"Welker, Wes WR DEN ",Bukkake Bandits,BAL,9,0,0,0,0,0,0.0,3.7,31.7,8.6,0,0,92.0,1156.0,12.6,8.0,0,249
"Jackson, Vincent WR TB ",McLovin,@NYJ,5,0,0,0,0,0,0.0,0.3,7.3,24.3,0,0,71.7,1222.0,17.0,8.7,0.3,237.30
"Colston, Marques WR NO",CaMelToE,ATL,7,0,0,0,0,0,0.0,0,0,0.0,0,0,81.7,1128.7,13.8,8.7,1.0,236.90
"Wayne, Reggie WR IND",South Central Grinder,OAK,8,0,0,0,0,0,0.0,0,0,0.0,0,0,89.0,1196.3,13.4,6.3,0.7,236.40
"Bowe, Dwayne WR KC ",Bukkake Bandits,@JAC,10,0,0,0,0,0,0.0,1.0,5.0,5.0,0,0,81.3,1158.7,14.3,7.7,0.3,234.90
"Amendola, Danny WR NE ",South Central Grinder,@BUF,10,0,0,0,0,0,0.0,2.7,23.3,8.6,0,0,93.0,1095.0,11.8,6.3,1.3,230.20
"Nelson, Jordy WR GB",Freak'n Champions,@SF,4,0,0,0,0,0,0.0,0,0,0.0,0,0,68.0,1079.3,15.9,9.0,0.7,220.60
"Decker, Eric WR DEN ",South Central Grinder,BAL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,71.3,973.7,13.7,9.7,0.7,217.10
"Smith, Steve WR CAR",Massive DEZticles,SEA,4,0,0,0,0,0,0.0,2.7,19.7,7.3,0,0,73.0,1142.0,15.6,6.3,1.0,216.80
"Garcon, Pierre WR WAS ",Massive DEZticles,PHI,5,0,0,0,0,0,0.0,1.0,5.3,5.3,0,0,72.7,1091.3,15.0,7.3,0.7,216.10
"Nicks, Hakeem WR NYG ",Cabo Clap,@DAL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,72.3,1080.0,14.9,7.3,0,216.10
"Brown, Antonio WR PIT",The Pluggers,TEN,5,0,0,0,0,0,0.0,7.3,32.7,4.5,0,0,80.3,1087.7,13.5,6.0,1.3,214.70
"Austin, Tavon WR STL ",Free Agent,ARI,11,0,0,0,0,0,0.0,25.0,160.7,6.4,1.3,0,79.3,964.3,12.2,5.3,1.3,214.30
"Jones, James WR GB ",DOUBLE PENETRATION,@SF,4,0,0,0,0,0,0.0,0,0,0.0,0,0,69.0,970.0,14.1,9.7,1.0,214.20
"Johnson, Steve WR BUF ",Just Won Baby,NE,12,0,0,0,0,0,0.0,0,0,0.0,0,0,78.7,1039.3,13.2,6.7,1.3,211.30
"Shorts, Cecil WR JAC ",Freak'n Champions,KC,9,0,0,0,0,0,0.0,0,-0.3,0.0,0,0,68.3,1108.0,16.2,6.7,0.3,210.90
"Hilton, T.Y. WR IND",Freak'n Champions,OAK,8,0.3,0,0,0,0,39.6,7.0,50.3,7.2,0,0,66.0,962.7,14.6,7.3,0,200.80
"Smith, Torrey WR BAL",DOUBLE PENETRATION,@DEN,8,0,0,0,0,0,0.0,4.0,22.3,5.6,0,0,62.0,1009.7,16.3,7.3,0.3,200.20
"Wallace, Mike WR MIA ",Bukkake Bandits,@CLE,6,0,0,0,0,0,0.0,4.3,24.3,5.7,0,0,65.7,1025.7,15.6,6.7,1.0,199.90
"Maclin, Jeremy WR PHI ",The Pluggers,@WAS,12,0,0,0,0,0,0.0,2.0,16.7,8.3,0,0,69.0,917.7,13.3,7.3,1.0,195.80
"Britt, Kenny WR TEN ",McLovin,@PIT,8,0,0,0,0,0,0.0,0,0,0.0,0,0,62.0,961.7,15.5,7.3,0.3,194.20
"Williams, Mike WR TB ",South Central Grinder,@NYJ,5,0,0,3.0,0,0,0.0,0,0,0.0,0,0,65.0,942.3,14.5,7.3,0.7,193.40
"Jennings, Greg WR MIN ",McLovin,@DET,5,0,0,0,0,0,0.0,0,0,0.0,0,0,68.3,875.0,12.8,7.0,0,189.30
"Jackson, DeSean WR PHI ",DOUBLE PENETRATION,@WAS,12,0,0,0,0,0,0.0,21.3,139.7,6.6,0.7,0,63.7,955.0,15.0,5.0,1.7,187.50
"Austin, Miles WR DAL ",Just Won Baby,NYG,11,0,0,0,0,0,0.0,1.0,10.7,10.7,0,0,65.3,892.7,13.7,7.0,0.7,186.90
"Alexander, Danario WR SD",CaMelToE,HOU,8,0,0,0,0,0,0.0,0,0,0.0,0,0,58.7,936.0,15.9,7.3,0.3,186.90
"Moore, Lance WR NO",Massive DEZticles,ATL,7,0,0,0,0,0,0.0,0,0,0.0,0,0,62.7,900.7,14.4,6.0,0.3,180.10
"Gordon, Josh WR CLE ",Freak'n Champions,MIA,10,0,0,0,0,0,0.0,0,0,0.0,0,0,56.3,910.3,16.2,6.7,1.0,176.50
"Boldin, Anquan WR SF ",CaMelToE,GB,9,0,0,-0.3,0,0,0.0,0,0,0.0,0,0,61.3,871.0,14.2,5.7,0.3,173.90
"Sanders, Emmanuel WR PIT",Free Agent,TEN,5,0,0,1.7,0,0,0.0,0.7,2.7,3.9,0,0,65.7,862.3,13.1,5.0,1.3,172.10
"Wright, Kendall WR TEN ",Free Agent,@PIT,8,0,0,0,0,0,0.0,0,0,0.0,0,0,64.3,787.0,12.2,5.7,1.0,167.50
"Blackmon, Justin WR JAC ",Bukkake Bandits,KC,9,0,0,0,0,0,0.0,3.3,34.3,10.4,0.3,0,58.7,798.3,13.6,5.7,0,166.70
"Floyd, Michael WR ARI ",Free Agent,@STL,9,0,0,0,0,0,0.0,0.7,7.0,10.0,0,0,58.0,803.0,13.8,6.0,0.3,166.40
"Moore, Denarius WR OAK ",Bukkake Bandits,@IND,7,0,0,0,0,0,0.0,4.3,32.0,7.4,0,0,56.7,801.3,14.1,6.0,0.3,166.10
"Broyles, Ryan WR DET ",Free Agent,MIN,9,0,0,0,0,0,0.0,0,0,0.0,0,0,59.7,815.3,13.7,5.0,0.3,162.10
"Holmes, Santonio WR NYJ ",Free Agent,TB,10,0,0,0,0,0,0.0,0.7,5.0,7.1,0,0,58.3,767.3,13.2,6.0,0.7,160.90
"Hartline, Brian WR MIA",McLovin,@CLE,6,0,0,0,0,0,0.0,0.3,4.0,13.3,0,0,59.7,807.7,13.5,3.7,1.0,152.90
"Rice, Sidney WR SEA ",The Pluggers,@CAR,12,0,0,0,0,0,0.0,0,0,0.0,0,0,54.0,738.0,13.7,5.3,0.3,151.20
"Jeffery, Alshon WR CHI ",Free Agent,CIN,8,0,0,0,0,0,0.0,0,0,0.0,0,0,49.0,772.7,15.8,5.3,0,149.80
"LaFell, Brandon WR CAR",Free Agent,SEA,4,0,0,0,0,0,0.0,0.3,10.7,35.7,0,0,52.7,803.3,15.2,4.0,0,149.70
"Givens, Chris WR STL ",Just Won Baby,ARI,11,0,0,0,0,0,0.0,2.7,16.3,6.0,0,0,50.7,766.0,15.1,5.0,0.3,149.10
"Streater, Rod WR OAK",Free Agent,@IND,7,0,0,0,0,0,0.0,0,0,0.0,0,0,58.0,716.3,12.3,5.0,1.0,149
"Hopkins, DeAndre WR HOU ",Free Agent,@SD,8,0,0,0,0,0,0.0,2.3,24.3,10.6,0,0,48.3,736.0,15.2,5.7,0.3,148.90
"Randle, Rueben WR NYG ",Free Agent,@DAL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,49.3,726.0,14.7,5.7,0.3,147.90
"Little, Greg WR CLE ",The Pluggers,MIA,10,0,0,0,0,0,0.0,0.7,5.0,7.1,0,0,56.3,723.7,12.9,4.3,0.7,145.70
"Sanu, Mohamed WR CIN ",Free Agent,@CHI,12,0.3,0.3,24.3,0.3,0,158.3,3.7,17.3,4.7,0,0,46.0,588.3,12.8,6.0,0,136.20
"Heyward-Bey, Darrius WR IND ",Free Agent,OAK,8,0,0,0,0,0,0.0,3.3,34.0,10.3,0,0,46.0,694.7,15.1,4.7,0.7,135.80
"Kerley, Jeremy WR NYJ ",Free Agent,TB,10,0,0,0,0,0,0.0,4.3,21.3,5.0,0,0,52.0,662.7,12.7,3.0,1.3,127.40
"Floyd, Malcom WR SD ",CaMelToE,HOU,8,0,0,0,0,0,0.0,0,0,0.0,0,0,44.3,659.3,14.9,4.0,0,127.30
"Tate, Golden WR SEA ",Bukkake Bandits,@CAR,12,0,0,0,0,0,0.0,2.3,12.0,5.2,0,0,41.3,594.0,14.4,5.0,0,123.30
"Burleson, Nate WR DET ",Free Agent,MIN,9,0,0,0,0,0,0.0,8.7,68.0,7.8,0,0,46.7,563.3,12.1,4.3,0.7,123.10
"Avery, Donnie WR KC ",Free Agent,@JAC,10,0,0,0,0,0,0.0,3.0,15.7,5.2,0,0,45.3,590.3,13.0,4.0,0,119.30
"Patterson, Cordarrelle WR MIN ",Free Agent,@DET,5,0,0,0,0,0,0.0,5.7,48.3,8.5,0.3,0,39.7,602.0,15.2,4.0,0.7,118.10
"Bess, Davone WR CLE ",Free Agent,MIA,10,0,0,0,0,0,0.0,0.3,0.7,2.3,0,0,52.0,564.3,10.9,3.0,1.0,117
"Jones, Jacoby WR BAL ",Free Agent,@DEN,8,0,0,0,0,0,0.0,4.0,26.3,6.6,0,0,40.0,585.3,14.6,4.3,0,116.80
"Brown, Vincent WR SD ",Free Agent,HOU,8,0,0,0,0,0,0.0,0,0,0.0,0,0,38.7,592.3,15.3,4.3,0,116.50
"Roberts, Andre WR ARI",Free Agent,@STL,9,0,0,0,0,0,0.0,1.3,10.3,7.9,0,0,48.3,586.3,12.1,3.0,0,116.30
"Dobson, Aaron WR NE ",Free Agent,@BUF,10,0,0,0,0,0,0.0,0,0,0.0,0,0,38.0,544.0,14.3,5.0,0,115
"Morgan, Joe WR NO ",Free Agent,ATL,7,0,0,0,0,0,0.0,1.3,10.7,8.2,0,0,38.0,580.3,15.3,4.3,0.3,113.20
"McCluster, Dexter WR KC ",Free Agent,@JAC,10,0,0,0,0,0,0.0,21.7,121.0,5.6,0.3,0,46.7,544.3,11.7,2.3,1.7,110.90
"Gibson, Brandon WR MIA ",Free Agent,@CLE,6,0,0,0,0,0,0.0,0.7,5.0,7.1,0,0,44.3,567.7,12.8,2.7,0,109.50
"Quick, Brian WR STL ",Free Agent,ARI,11,0,0,0,0,0,0.0,1.0,6.7,6.7,0,0,41.3,571.7,13.8,3.3,0.7,108.70
"Wright, Jarius WR MIN",Free Agent,@DET,5,0,0,0,0,0,0.0,3.0,20.3,6.8,0,0,43.3,550.3,12.7,3.0,0.3,108.70
"Woods, Robert WR BUF",Free Agent,NE,12,0,0,0,0,0,0.0,0,0,0.0,0,0,40.0,576.3,14.4,3.0,0.3,107.40
"Wheaton, Markus WR PIT",Free Agent,TEN,5,0,0,0,0,0,0.0,0,0,0.0,0,0,38.7,547.7,14.2,3.3,0,105.50
"Moss, Santana WR WAS",Freak'n Champions,PHI,5,0,0,0,0,0,0.0,1.7,4.0,2.4,0,0,35.7,503.7,14.1,4.7,0.7,105.50
"Hill, Stephen WR NYJ ",Free Agent,TB,10,0,0,0,0,0,0.0,0,0,0.0,0,0,37.3,545.3,14.6,3.3,0.3,103.50
"Morgan, Josh WR WAS",Free Agent,PHI,5,0,0,0,0,0,0.0,2.0,12.0,6.0,0,0,39.0,496.0,12.7,3.3,0,101.80
"Hankerson, Leonard WR WAS",Free Agent,PHI,5,0,0,0,0,0,0.0,0.3,0.7,2.3,0,0,35.0,535.3,15.3,3.3,0.3,100.20
"Hawkins, Andrew WR CIN",Free Agent,@CHI,12,0,0,0,0,0,0.0,6.3,34.7,5.5,0,0,41.0,492.0,12.0,2.7,0,99.20
"Bennett, Earl WR CHI",Free Agent,CIN,8,0,0,0,0,0,0.0,0.3,1.0,3.3,0,0,38.0,469.0,12.3,2.7,0,93.20
"Graham, T.J. WR BUF",Free Agent,NE,12,0,0,0,0,0,0.0,1.7,11.7,6.9,0,0,35.0,520.3,14.9,2.0,0,91
"Jenkins, A.J. WR SF ",Free Agent,GB,9,0,0,0,0,0,0.0,3.0,25.3,8.4,0,0,30.7,448.3,14.6,3.3,0,88.50
"Williams, Terrance WR DAL ",Free Agent,NYG,11,0,0,0,0,0,0.0,0.7,3.7,5.3,0,0,31.7,466.0,14.7,2.7,0,86.90
"Criner, Juron WR OAK",Free Agent,@IND,7,0,0,0,0,0,0.0,0,0,0.0,0,0,34.3,463.7,13.5,2.3,0,85.10
"Washington, Nate WR TEN ",Free Agent,@PIT,8,0,0,0,0,0,0.0,0,0,0.0,0,0,31.3,449.3,14.4,2.7,0.3,83.90
"Cotchery, Jerricho WR PIT",Free Agent,TEN,5,0,0,0,0,0,0.0,0,0,0.0,0,0,36.3,454.7,12.5,1.7,0,83.50
"Shipley, Jordan WR JAC",Free Agent,KC,9,0,0,0,0,0,0.0,0,0,0.0,0,0,37.0,425.3,11.5,2.0,0,83
"Hunter, Justin WR TEN ",Free Agent,@PIT,8,0,0,0,0,0,0.0,1.3,8.3,6.4,0,0,28.3,441.3,15.6,3.3,0.7,82.70
"Allen, Keenan WR SD ",Free Agent,HOU,8,0,0,0,0,0,0.0,1.3,18.0,13.8,0.3,0,29.3,425.7,14.5,2.7,0.3,81.70
"Douglas, Harry WR ATL",Free Agent,@NO,6,0,0,0,0,0,0.0,0,0,0.0,0,0,33.7,442.0,13.1,2.0,0,81.70
"Ford, Jacoby WR OAK",Free Agent,@IND,7,0,0,0,0,0,0.0,5.3,59.3,11.2,0.7,0,30.3,431.7,14.2,2.0,0.7,81.10
"Hixon, Domenik WR CAR ",Free Agent,SEA,4,0,0,0,0,0,0.0,0,0,0.0,0,0,29.0,416.0,14.3,2.7,0,79.20
"Avant, Jason WR PHI",Free Agent,@WAS,12,0,0,0,0,0,0.0,0,0,0.0,0,0,37.0,444.7,12.0,1.3,1.0,78.80
"Baldwin, Jon WR KC",Free Agent,@JAC,10,0,0,0,0,0,0.0,0,0,0.0,0,0,29.0,420.3,14.5,2.0,0,75
"Crabtree, Michael WR SF ",Cabo Clap,GB,9,0,0,0,0,0,0.0,0.3,1.7,5.7,0,0,25.7,365.7,14.2,3.3,0,73.50
"Ogletree, Kevin WR TB",Free Agent,@NYJ,5,0,0,0,0,0,0.0,0.3,1.3,4.3,0,0,27.0,362.3,13.4,2.3,0,68.80
"Edelman, Julian WR NE ",Free Agent,@BUF,10,0,0,0,0,0,0.0,3.0,25.3,8.4,0.3,0,29.3,360.0,12.3,1.3,1.0,65.90
"Benjamin, Travis WR CLE",Free Agent,MIA,10,0,0,0,0,0,0.0,5.3,64.7,12.2,0,0,19.0,336.7,17.7,2.3,1.0,60.80
"Manningham, Mario WR SF ",Free Agent,GB,9,0,0,0,0,0,0.0,0,0,0.0,0,0,22.3,320.7,14.4,2.3,0.3,60.50
"Streeter, Tommy WR BAL",Free Agent,@DEN,8,0,0,0,0,0,0.0,0,0,0.0,0,0,24.0,360.0,15.0,1.3,0,59.80
"Murphy, Louis WR NYG",Free Agent,@DAL,9,0,0,0,0,0,0.0,1.0,12.7,12.7,0,0,24.7,364.7,14.8,1.0,0,58.70
"Underwood, Tiquan WR TB",Free Agent,@NYJ,5,0,0,0,0,0,0.0,0,0,0.0,0,0,21.7,275.0,12.7,2.0,0,53.70
"Harris, Dwayne WR DAL ",Free Agent,NYG,11,0,0,0,0,0,0.0,0,0,0.0,0,0,22.3,307.3,13.8,1.3,0,53.10
"Benn, Arrelious WR PHI",Free Agent,@WAS,12,0,0,0,0,0,0.0,3.0,13.3,4.4,0,0,21.3,291.0,13.7,1.7,0,52.50
"Nelson, David WR CLE ",Free Agent,MIA,10,0,0,0,0,0,0.0,0,0,0.0,0,0,24.7,294.0,11.9,1.0,0,51.70
"Doss, Tandon WR BAL ",Free Agent,@DEN,8,0,0,0,0,0,0.0,0,0,0.0,0,0,24.3,283.0,11.6,1.0,0,50.30
"Brazill, LaVon WR IND ",Free Agent,OAK,8,0,0,0,0,0,0.0,0,0,0.0,0,0,20.3,289.7,14.3,1.7,0.7,50.10
"Baldwin, Doug WR SEA ",Free Agent,@CAR,12,0,0,0,0,0,0.0,0,0,0.0,0,0,18.0,272.7,15.1,2.0,0,50
"Jenkins, Michael WR NE",Free Agent,@BUF,10,0,0,0,0,0,0.0,0,0,0.0,0,0,21.3,254.3,11.9,1.7,0.7,47.10
"Toon, Nick WR NO ",Free Agent,ATL,7,0,0,0,0,0,0.0,0,0,0.0,0,0,18.0,246.3,13.7,2.0,0,47
"Smith, Steve WR TB ",Free Agent,@NYJ,5,0,0,0,0,0,0.0,0,0,0.0,0,0,19.7,255.3,13.0,1.7,0,46.90
"Jones, Donald WR NE ",Free Agent,@BUF,10,0,0,0,0,0,0.0,0.3,0.3,1.0,0,0,19.7,291.0,14.8,1.0,0,46.70
"Cooper, Riley WR PHI ",Free Agent,@WAS,12,0,0,0,0,0,0.0,0,0,0.0,0,0,18.3,289.3,15.8,1.0,0,45.30
"Simpson, Jerome WR MIN ",Free Agent,@DET,5,0,0,0,0,0,0.0,0,0.3,0.0,0,0,20.3,279.3,13.8,1.0,0.7,44.90
"Walter, Kevin WR TEN ",Free Agent,@PIT,8,0,0,0,0,0,0.0,0,0,0.0,0,0,18.3,245.7,13.4,1.3,0,43.10
"Bailey, Stedman WR STL ",Free Agent,ARI,11,0,0,0,0,0,0.0,0,0,0.0,0,0,18.7,220.0,11.8,1.7,0,42.90
"Jean, Lestar WR HOU",Free Agent,@SD,8,0,0,0,0,0,0.0,0,0,0.0,0,0,17.0,247.0,14.5,1.3,0,41.80
"Martin, Keshawn WR HOU ",Free Agent,@SD,8,0,0,0,0,0,0.0,4.0,34.3,8.6,0,0,20.0,228.0,11.4,0.7,0.3,39.60
"Jones, Marvin WR CIN",Free Agent,@CHI,12,0,0,0,0,0,0.0,1.0,15.7,15.7,0,0,16.7,227.3,13.6,1.0,0,37.70
"Pettis, Austin WR STL ",Free Agent,ARI,11,0,0,0,0,0,0.0,0,-0.7,0.0,0,0,16.7,209.7,12.6,1.0,0.3,36.10
"Thomas, Mike WR DET",Free Agent,MIN,9,0,0,0,0,0,0.0,3.3,27.7,8.4,0,0,16.3,207.3,12.7,1.3,0.7,35.70
"Burress, Plaxico WR PIT ",Free Agent,TEN,5,0,0,0,0,0,0.0,0,0,0.0,0,0,15.0,173.0,11.5,1.7,0,34.20
"Meachem, Robert WR SD ",Free Agent,HOU,8,0,0,0,0,0,0.0,1.0,3.0,3.0,0,0,13.7,211.3,15.4,1.0,0,33.70
"Massaquoi, Mohamed WR JAC",Free Agent,KC,9,0,0,0,0,0,0.0,0.7,3.3,4.7,0,0,15.7,221.0,14.1,0.7,0.3,33.30
"Royal, Eddie WR SD ",Free Agent,HOU,8,0,0,0,0,0,0.0,2.7,26.7,9.9,0,0,17.3,200.7,11.6,0.7,0.7,33.10
"Patton, Quinton WR SF ",Free Agent,GB,9,0,0,0,0,0,0.0,0,0,0.0,0,0,14.7,212.0,14.4,0.7,0,32.90
"Stills, Kenny WR NO ",Free Agent,ATL,7,0,0,0,0,0,0.0,1.0,5.3,5.3,0,0,13.3,198.0,14.9,1.3,0.3,32.50
"Williams, Damian WR TEN",Free Agent,@PIT,8,0,0,0,0,0,0.0,0,0,0.0,0,0,16.0,204.3,12.8,0.7,0,32.20
"Posey, DeVier WR HOU ",Free Agent,@SD,8,0,0,0,0,0,0.0,0,0,0.0,0,0,14.0,192.7,13.8,1.0,0,32
"Matthews, Rishard WR MIA ",Free Agent,@CLE,6,0,0,0,0,0,0.0,0,0,0.0,0,0,13.7,199.3,14.5,0.7,0,29.90
"Beasley, Cole WR DAL",Free Agent,NYG,11,0,0,0,0,0,0.0,0,0,0.0,0,0,16.3,162.7,10.0,0.7,0,29.50
"Ginn, Ted WR CAR ",Free Agent,SEA,4,0,0,0,0,0,0.0,3.7,33.7,9.1,0,0,13.0,210.7,16.2,0.3,0.3,29.20
"Goodwin, Marquise WR BUF ",Free Agent,NE,12,0,0,0,0,0,0.0,1.3,12.3,9.5,0,0,11.0,190.7,17.3,1.3,0.3,29.20
"Boyce, Josh WR NE",Free Agent,@BUF,10,0,0,0,0,0,0.0,0,0,0.0,0,0,14.0,195.0,13.9,0.3,0,27.80
"Smith, Brad WR BUF ",Free Agent,NE,12,0.7,0.3,0.7,0,0.3,10.7,17.0,108.7,6.4,0.7,0,10.3,110.3,10.7,0.7,0,27.10
"Johnson, Damaris WR PHI",Free Agent,@WAS,12,0,0,0,0,0,0.0,1.7,10.7,6.3,0,0,13.0,188.7,14.5,0.7,1.7,24.80
"Caldwell, Andre WR DEN",Free Agent,BAL,9,0,0,0,0,0,0.0,0.3,1.3,4.3,0,0,13.0,152.0,11.7,0.7,0,24.20
"Gates, Clyde WR NYJ ",Free Agent,TB,10,0,0,0,0,0,0.0,2.3,24.3,10.6,0,0,11.7,157.3,13.4,0.7,0.3,23.30
"Cribbs, Josh WR OAK ",Free Agent,@IND,7,0.3,0.3,2.0,0,0,94.4,9.0,38.7,4.3,0,0,11.3,129.3,11.4,0.7,0.3,22.90
"Gettis, David WR CAR",Free Agent,SEA,4,0,0,0,0,0,0.0,0.3,0.3,1.0,0,0,11.3,152.0,13.5,0.7,0,22.50
"Davis, Drew WR ATL",Free Agent,@NO,6,0,0,0,0,0,0.0,0,0,0.0,0,0,8.7,124.0,14.3,1.3,0,21.50
"Binns, Armon WR MIA ",Free Agent,@CLE,6,0,0,0,0,0,0.0,0,0,0.0,0,0,10.7,111.7,10.4,0.7,0,18.90
"Sanzenbacher, Dane WR CIN",Free Agent,@CHI,12,0,0,0,0,0,0.0,0,-0.3,0.0,0,0,8.3,91.7,11.0,1.0,0,18.30
"Lockette, Ricardo WR SF ",Free Agent,GB,9,0,0,0,0,0,0.0,0.7,4.3,6.1,0,0,8.7,109.0,12.5,0.7,0,16.90
"Sanders, Ace WR JAC ",Free Agent,KC,9,0,0,0,0,0,0.0,0,0,0.0,0,0,10.0,123.0,12.3,0.3,0,16.80
"Robinson, Aldrick WR WAS",Free Agent,PHI,5,0,0,0,0,0,0.0,0,0,0.0,0,0,6.0,98.3,16.4,1.0,0,16
"Hester, Devin WR CHI ",Free Agent,CIN,8,0,0,0,0,0,0.0,2.3,21.0,9.1,0,0,6.3,112.0,17.8,0.7,0.3,15.90
"Easley, Marcus WR BUF",Free Agent,NE,12,0,0,0,0,0,0.0,0,0,0.0,0,0,7.0,103.7,14.8,0.7,0,15.20
"Armstrong, Anthony WR DAL",Free Agent,NYG,11,0,0,0,0,0,0.0,0,0,0.0,0,0,6.0,109.7,18.3,0.7,0,14.20
"Swope, Ryan WR ARI ",Free Agent,@STL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,7.7,93.3,12.1,0.3,0,13.50
"Fuller, Corey WR DET",Free Agent,MIN,9,0,0,0,0,0,0.0,0,0,0.0,0,0,9.0,110.0,12.2,0,0,13
"Boykin, Jarrett WR GB ",Free Agent,@SF,4,0,0,0,0,0,0.0,0,0,0.0,0,0,7.0,90.3,12.9,0.3,0,12.80
"Jernigan, Jerrel WR NYG",Free Agent,@DAL,9,0,0,0,0,0,0.0,0,1.0,0.0,0,0,5.0,70.3,14.1,0.7,0,12.20
"Holliday, Trindon WR DEN ",Free Agent,BAL,9,0,0,0,0,0,0.0,1.0,8.3,8.3,0,0,4.7,69.3,14.7,0.7,0,11.90
"King, Tavarres WR DEN",Free Agent,BAL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,6.0,107.3,17.9,0.3,0,11.80
"Williams, Kyle WR SF ",Free Agent,GB,9,0,0,0,0,0,0.0,1.7,13.7,8.1,0,0,6.3,79.7,12.7,0.3,0,11.10
